id,location,text,target
1363291,,RT @guardian: Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/LzohVpFFFH,0
1363292,NC USA,US infectious disease expert Dr. Anthony #Fauci calls some of Fox News' prime time coverage of the coronavirus 'outlandish' #FoxIsFake #FoxNewsIsFakeNews #Duheee #Dumbasses  https://t.co/NfCfBQLxCY,1
1363293,,RT @GrahamScambler: Rebel Tory MPs fail in bid to get more say over #Covid restrictions.  https://t.co/rWnSsYZzoW,0
1363294,,"SNL is back this weekend with Jim Carrey as Joe Biden, Chris Rock as host and a whole lot of restrictions. Here’s … https://t.co/lj7L7eHbf9",1
1363295,"🍌Republic, by 🍌 Republicans","RT @PaulSorrentino3: @DrEricDing i lived in Germany if you know German you should be listening to this 
https://t.co/mbdEnP3sek",1
1363296,,"@jessaella58 @Timcast How can you possibly not know how much he lies? https://t.co/jd9U1VpkiV
https://t.co/WkwuYAD6LN
https://t.co/Vc687kT29h
https://t.co/X877O0wguO
https://t.co/aaH90tlJ8q
https://t.co/qMFvhfQY6z",1
1363297,"St Petersberg, FL",Florida's Miami-Dade Pushes Back On Loosening Of Coronavirus Restrictions https://t.co/qWSe9ymSr5,1
1363298,,"1/2

Switzerland: https://t.co/ANhY1amf7e",0
1363299,Virginia,"Hey Donald, guess what? 
 
Disney lays off 28,000 as coronavirus slams its theme-park business, this is your fault .. https://t.co/CSPfqO0nw2",1
1363300,,RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363301,London,Covid-hit Merseyside economy 'may collapse without funding' https://t.co/1xFVSbXq6K,0
1363302,,Covid-hit Merseyside economy 'may collapse without funding' https://t.co/m4XroZiGHG,0
1363303,London UK,RT @colchester_swp: Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/hNyU6xWoKR,0
1363304,In the shadows of Westminster. Europe.,"If conservative Switzerland can do this...

https://t.co/IysPaUxIVe",0
1363305,,https://t.co/nJvV1adlFI,0
1363306,"Florida, USA",Dr. Fauci calls some of Fox News coronavirus coverage 'outlandish' - Business Insider https://t.co/kyztt3WAZ8,1
1363307,United States,"via @pjglad

@TheAtlantic Explains: test conflation on supposed rise in COVID cases

'How Could the CDC Make That Mistake?'
https://t.co/l30AFUku9E
21 May 2020

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-555 by #BorderObserver",1
1363308,"Dallas, TX","Opinion | Africa has defied the covid-19 nightmare scenarios. We shouldn’t be surprised. - The Washington Post https://t.co/z2TxkEw58Q",1
1363309,Monde,RT @guardian: Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/LzohVpFFFH,0
1363310,,⁦@realDonaldTrump⁩ FAILED LEADERSHIP  https://t.co/ZQn7lKiHQU,1
1363311,"Texas, USA",@ksatnews Already proven false. Why keep on with the #fakenews kcrap? https://t.co/f0rfsCnln5,1
1363312,"Seattle, WA","Trump plans big Wisconsin rallies despite White House task force calls for ‘maximal’ social distancing in the state
https://t.co/jwjkpKC8SW",1
1363313,Consultorio Italia 424 2588912,"Y si planificamos como vamos a vacunar? Así evitamos un caos...
https://t.co/Ek5psNoP6U",1
1363314,,"No jab, no movement? UK MP pushes mandatory Covid-19 vaccination for travel, suggests army should oversee rollout — RT UK News https://t.co/8Xxc6DPuPD",0
1363315,UK,RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1363316,,"Geneva to introduce minimum wage of £3,500 a month https://t.co/zzL5ZutYC2",0
1363317,,Trump administration’s new rapid coronavirus tests plagued by confusion and a lack of planning - The Washington Post https://t.co/WedAxgmy0e,1
1363318,"Florida, USA",#RT @ctisus: the reality of the markets is setting in even at Disney https://t.co/wmtWtjyYOz,1
1363319,London,RT @guardiannews: Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/kf5tjWCGT9,0
1363320,"boston, ma",My wife and I got the virus. I got better. We had to say goodbye over FaceTime. https://t.co/9bFLG0GnLh,1
1363321,World,"The summit for women ages 13 to 24 was part of the “Pink New Deal” unveiled last year — long before the pandemic put an even bigger strain on young women.@ashleykgross @rachel_handler
https://t.co/R80RYxXchl https://t.co/JbyPzgckEj",1
1363322,Magnesium & zinc mine,"Geneva to introduce minimum wage of £3,500 a month https://t.co/YFtAflMXcE",0
1363323,"Norwich, England",RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1363324,"Tunbridge Wells, UK (Europe)",RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1363325,"Folkestone, England",RT @guardian: Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/LzohVpFFFH,0
1363326,"London, England",RT @guardian: Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/LzohVpFFFH,0
1363327,Merseyside.,https://t.co/xD5BPnFdOW,0
1363328,"North Carolina, USA","RT @DNCWarRoom: Trump is once again ignoring experts and putting his ego ahead of public health.

https://t.co/wEcaOjUyEH",1
1363329,USA,Live updates: Former FDA commissioners deliver rare rebuke to Trump administration https://t.co/BGZRtwmigr,1
1363330,Oregon boy living in Brooklyn,"#CoronavirusDeaths #TrumpPandemic 

https://t.co/c9xzivEj4g",1
1363331,"Holt, MI",Inside the airline industry's meltdown https://t.co/vVLGAUTwjH,0
1363332,,"NYC plans to start fining people who refuse to wear masks.

@ThePascalShow
https://t.co/ppPwnXtag2",0
1363333,"Johnson City, TN",RT @marknyt: Plan to solve Florida's non-existent protest problem is pure 'mini-Trump' https://t.co/JA5yKKGs2C,0
1363334,"Holt, MI","“I’ve been in this business almost 40 years, and I’ve never seen anything like this. The mood is bad. It feels like a tragedy.” https://t.co/vVLGAUTwjH",0
1363335,Orange ,Wear a mask! https://t.co/h0yJAGy7tP,1
1363336,"Cincinnati, Ohio","Remdesivir may not cure coronavirus, but it’s on track to make billions for Gilead https://t.co/hwf7q5yRDI",1
1363337,"Chelsea, London, England","I find it objectionable to be on the same side as Brexiteers like Steve Baker and Sir Graham Brady but defending democracy against executive overreach makes for strange bedfellows - Tory MPs pile pressure on ministers before talks on Coronavirus Act
https://t.co/wVuQnfG7xj",0
1363338,"Marlton, NJ",Cash-strapped airlines must gamble on how many travelers will book last minute Thanksgiving flights — and they've got no room for error https://t.co/jDOsujEOcB via @businessinsider,1
1363339,London,Covid-hit Merseyside economy 'may collapse without funding' https://t.co/r3tl5CY2OX    this is dire,0
1363340,"Chapel Hill, NC","Ouch...one of the campuses has a school of public health: 
""Two universities welcomed students on campus. Only one tested for Covid-19"" https://t.co/RBWsiOQ48k",0
1363341,,"Good story on NPR yesterday about testing vaccines in the US, with a bonus factoid slipped in around 3:32: one US company plans phase 3 tests in the UK because ""they expect to have an easy time finding cases"" there.

I mean, ""here"".

I mean... Well, shit.

https://t.co/j9sg40IkSG",1
1363342,United Kingdom,RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1363343,Connecticut,7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363344,,RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363345,NJ,RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363346,Aquí estoy porque he venido... https://www.youtube.com/watch?v=FsmQo25eRps,"RT @ramonlobo: Geneva to introduce minimum wage of £3,500 a month https://t.co/UHk1uUuMbN",0
1363347,"Madrid, Spain",It’s nice to see how fluid mechanics is becoming part of our day to day...  https://t.co/tkkvgW8Y1n,1
1363348,"Washington, DC","In another defiant move, Trump plans big Wisconsin rallies this weekend in places his own White House task force has called red zones with “exponential” spread of the coronavirus, according to a private task force report. By @michaelscherer @bylenasun
https://t.co/WPfRxD7YNE",1
1363349,,3 Months Of Hell: U.S. Economy Drops 32.9% In Worst GDP Report Ever https://t.co/MWaeZnP5s3,1
1363350,,"Lockdowns at stake: Trump says people want their places OPEN, but Biden insists they want to be SAFE https://t.co/sPidUTf6qh",0
1363351,London,This is an outstanding New Yorker-esque long read on the meltdown in airline industry and the challenges ahead. Beautifully written by @Samanth_S h/t @_BenWright_  https://t.co/abg7wETgNN https://t.co/ENjJca5fQ9,0
1363352,"Buenos Aires, Argentina","No somos los únicos. Mal de muchos...
https://t.co/r7nuXZXhbs",0
1363353,,Pence stopped CDC from extending cruise ban into 2021: Axios - Business Insider https://t.co/HU2iZgWFUH,1
1363354,Opposite Land,"Florida COVID-19 cases spike days after DeSantis reopening order - Business Insider

Hmmmmm? Wonder Why ... The ppl of Florida deserve this!!!!! This is what you get when you vote republican ... ⁦@MiamiHerald⁩ ⁦@orlandosentinel⁩ 
 https://t.co/26dXxpdPrG",1
1363355,,"RT @Craig_A_Spencer: @nptacek Agreed!

https://t.co/M2BFpPcwRz",1
1363356,"London, England",RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363357,San Francisco Bay Area,CDC’s credibility is eroded by internal blunders and external attacks as coronavirus vaccine campaigns loom - The Washington Post https://t.co/O6gnGYNIjW,1
1363358,🌍,"RT @KellyAuCoin77: #CoronavirusDeaths #TrumpPandemic 

https://t.co/c9xzivEj4g",1
1363359,Greater NY Metro. Area,The pandemic pushes hundreds of millions of people toward starvation and poverty https://t.co/W3EDHKLZ0r,1
1363360,"Northern Ireland, United Kingd",RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363361,Michigan,"@milyball @glow_smokey @dnm1031 Antifa hasn't happened? Joe doesn't have pedophilic tendencies? We are't wearing masks for a virus with a 99.5% survival rate(says right on the box not for Covid) wow..
https://t.co/fqrMdfYVVh",0
1363362,Planet Earth,"1/Back in 1995, American doctors treated me for TB that I never had. None of them bothered to check my vaccination records to see that I —like most ... tbc.

https://t.co/0u4OzDmVIJ

#VaccinesSaveLives #VaccinesWork #BCGvaccine #COVIDvaccine #Vaccine #VaccinesCauseAdults",1
1363363,the internet of hand computers,"At least 918 new coronavirus deaths and 43,470 new cases were reported in the United States on Sept. 29. Over the past week, there have been an average of 43,144 cases per day, an increase of 13 percent from the average two weeks earlier. https://t.co/koW1NaTtko",1
1363364,"Austin, TX",RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363365,,"@DarrellIssa Funny, economists are predicting that a Biden presidency will create more jobs &amp; boost the American economy (P.S. Also he'll take action to stop Americans dying of covid)
https://t.co/raCpuwuQ0O",1
1363366,,7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/BVwRCOfKfj,1
1363367,"New York City, USA",".
Disney Lays Off 28,000 Workers, 67% Are Part-Time Employees https://t.co/2jQlqv8NU2 

MEGA-D:       
8) VIOLENCE - 2) MOTION -  4) ARRANGEMENT - 7) EVOLUTION
.",1
1363368,"Past, present, and future",RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363369,Your moms house,"@ottawadad34 @IvanSeattle @CHRISTINE_M69 @abbierenn @HKrassenstein @JoeBiden https://t.co/VAj9dZCncS 

https://t.co/DKrNoFVr5N

https://t.co/iCu6vssocd",1
1363370,Farnsfield,RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1363371,Wisconsin,Top US infectious disease expert Dr. Anthony Fauci calls some of Fox News' prime time coverage of the coronavirus 'outlandish' https://t.co/d6XmNugLhr,1
1363372,"Burke, VA","RT @DNCWarRoom: Trump is once again ignoring experts and putting his ego ahead of public health.

https://t.co/wEcaOjUyEH",1
1363373,Edinburgh,Dreading a dark winter lockdown? Think like a Norwegian https://t.co/iv6qzs4WAK https://t.co/cPEHB0Wkvq,0
1363374,"Manchester, England",RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1363375,somewhere in the world,https://t.co/zy2RDbGabS,0
1363376,Pangaea,No Problem . We spend tens of billions an nukes that we hope will never be used and are of no value to anyone  https://t.co/6s4ioYfEsM,0
1363377,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1363378,City of London,via @NYTOpinion https://t.co/9pRAA65nq8,1
1363379,"Oak Park, CA","Geneva to introduce minimum wage of £3,500 a month https://t.co/GpYnyOvtZV",0
1363380,"Brampton, Ontario","Less than 50% of #Americans would take #Covid19 vaccine, even if they were paid $100 – poll — RT USA News 
https://t.co/a1vi56x5II 

#coronavirusvaccine #vaccineinjuries #notomandatoryvaccines #abolishbigpharma",0
1363381,"Kitchener/Waterloo, ON","RT @KellyAuCoin77: #CoronavirusDeaths #TrumpPandemic 

https://t.co/c9xzivEj4g",1
1363382,"Washington, DC",Why The Pandemic Could Change The Way We Record Deaths via @NPRGoatsandSoda  https://t.co/U1N4Y25XYZ,1
1363383,Mass action uprising of millns,RT @andrewducker: Dreading a dark winter lockdown? Think like a Norwegian https://t.co/iv6qzs4WAK https://t.co/cPEHB0Wkvq,0
1363384,"Stockholm, Sverige","Geneve inför minimilön på närmare 40.000 kr i månaden för att bekämpa fattigdom i coronakrisens spår. 

https://t.co/PIbY8XuFjA",0
1363385,,RT @guardiannews: Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/kf5tjWCGT9,0
1363386,"New York City, USA",".
Leaders Indicted At Soldiers' Home Where At Least 76 People Died In COVID-19 Outbreak https://t.co/Fm9EN01iWa 

MEGA-D:       
8) VIOLENCE - 2) MOTION -  4) ARRANGEMENT - 7) EVOLUTION
.",1
1363387,NYC,RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363388,Europe,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1363389,,This is a really interesting long read about the effect of COVID on air travel and what happens next: https://t.co/asbAkB2NJn,0
1363390,"Washington, DC",RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363391,"Washington, DC","Trump plans big Wisconsin rallies this weekend in places his own White House task force has called red zones with “exponential” spread of the coronavirus, according to a private task force report.

via @michaelscherer and @bylenasun
https://t.co/8ZDyk5Bkgi",1
1363392,,RT @guardian: Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/LzohVpFFFH,0
1363393,,Trump administration’s new rapid coronavirus tests plagued by confusion and a lack of planning https://t.co/5Nb8XmQqmw,1
1363394,"ÜT: 42.259956,-73.860585","Filipinos make up 4% of nurses in the US, but 31.5% of nurse deaths from COVID-19 https://t.co/3iX5EHdf0Z  @BIFrance",1
1363395,"York, PA",7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/KHIV293FNJ,1
1363396,"Cornwall, Ontario",Bill Gates thinks a coming disease could kill 30 million people within 6 months — and says we should prepare for it as we do for war https://t.co/yRsQgO3fhT via @businessinsider,1
1363397,With Resisters Everywhere,"@realDonaldTrump Trump:  “The things they had in there were crazy. They had things, levels of voting that if you’d ever agreed to it, you’d never have a Republican elected in this country again.”  https://t.co/mzPGjySGQn https://t.co/JlUiTsr8Rj",0
1363398,Your moms house,@ottawadad34 @IvanSeattle @CHRISTINE_M69 @abbierenn @HKrassenstein @JoeBiden https://t.co/IwYgZRzvtO,0
1363399,USA,Presidential debate reaction: Trump condemned over failure to criticise far-right group –  live https://t.co/fllnNJxTVK,0
1363400,"Dallas, TX",Trump plans mass events in Wisconsin where White House task force calls for social distancing. - The Washington Post https://t.co/vvktVr3n0L,1
1363401,Burton on  Trent,"Geneva to introduce minimum wage of £3,500 a month https://t.co/eBliFBaUJu",0
1363402,"Amherst, NY / Washington, DC","COVID! Still a thing. @sarahzhang at @TheAtlantic: “On the day that a COVID-19 vaccine is approved, a vast logistics operation will need to awaken.” We’re not really nailing it on those kinds of things lately. 
https://t.co/JjTtC7QRsG
7/10",1
1363403,"Chicago, IL",RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363404,the Northwoods/ Lake Superior,Live updates: Former FDA commissioners deliver rare rebuke to Trump administration https://t.co/3LsiifVcCc,1
1363405,Sweden,"Need a raise?
Just move to where the Rhône exits Lake Geneva.
https://t.co/BvXEdPnsls",0
1363406,NJ,@realDonaldTrump Bif err Donny:  Last night showed once again you are an incompetent bully without a plan. Shameful display &amp; disregard for truth or facts.  200k+ Corona deaths on you. https://t.co/2bDp6QbPd5,1
1363407,,https://t.co/G1bqcXvWCp,1
1363408,"Bath, UK",Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/06N2XgU5co,0
1363409,"Miami, FL","RT @Snailpower11: #notmypresident Trump knew Covid was deadly but wanted to ‘play it down’, Woodward book says https://t.co/J1KHO7wJiO",0
1363410,"East, England","RT @frankiecrisp1: Geneva to introduce minimum wage of £3,500 a month https://t.co/eBliFBaUJu",0
1363411,,'Only time will tell': Russia places huge bet on Covid vaccine https://t.co/ELQQjrxLWi,0
1363412,Los Angeles,RT @matthewherper: Make no mistake about it: having 7 former FDA commissioners say this is a big deal. Listen. https://t.co/X7kc3aVoPs,1
1363413,Toronto,Still blows my mind that mainstream media isn’t putting more pressure on @GovCanHealth to speed up approval of rapid testing.  Seems like it’s the one tool we have to slow the spread of #COVID19.    https://t.co/cq4RpfcrtM,0
1363414,,"Disney lays off 28,000 as coronavirus slams its theme-park business https://t.co/CWCsmOndo8",1
1363415,Wales,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1363416,,"The Guardian: Presidential debate reaction: Trump condemned over failure to criticise far-right group – live.
https://t.co/0meZxdb8It

via @GoogleNews",0
1363417,United States fight to be free,"TESTING WORKS : HERD IMMUNITY FAILS

""The #TrumpVirus &amp; #GOP strategy to spread disease has caused needless disruption to economy and society""

#NorthCarolina #Florida #Ohio #God 
Two universities welcomed students on campus. Only one tested for Covid-19 https://t.co/TZAzjnEv0D",0
1363418,"York, PA",Trump plans big Wisconsin rallies despite White House task force calls for ‘maximal’ social distancing in the state https://t.co/ASzmHBI3gF,1
1363419,,"“Plan to solve #Florida's non-existent protest problem is pure 'mini-Trump’”

@GovRonDeSantis is as loony as @realDonaldTrump.

https://t.co/kkcPcvTeSg",0
1363420,"York, PA","Remdesivir may not cure coronavirus, but it’s on track to make billions for Gilead https://t.co/f0HSiTayQw",1
1363421,The Windy City,RT @guardian: Covid-19 healthcare worker death toll: 679 deaths under investigation https://t.co/Uy4ccFGRUq,0
1363422,London/Kuala Lumpur/ Potatoes for Peace world,Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/wfKzi09hnj,0
1363423,On The Dark Side of the Moon,"Wealthy people just send their money to offshore accounts, siphoning the cash flow from Britain. Money needs to work…..
https://t.co/ip5uzpHWor",0
1363424,"North Carolina, USA",New York City to fine people who refuse to wear masks as Covid rates rise https://t.co/tLCneDa7vU,0
1363425,"Brussels, Belgium",RT @andrewducker: Dreading a dark winter lockdown? Think like a Norwegian https://t.co/iv6qzs4WAK https://t.co/cPEHB0Wkvq,0
1363426,"New York, NY","Meet the 'K-shaped' recession, where professional workers are largely fine and everyone else is doing awful https://t.co/xgIyv79od8",1
1363427,Brazil,"Contexto suíço/GENF: ""4,000 (Swiss francs) is the minimum to not fall below the poverty line and find yourself in a very difficult situation"" https://t.co/Roa3hpjDod",0
1363428,"2nd star to the right, on til morning",Geneva to introduce minimum hourly wage of CHF 19.50 - this would be $28.25 CDN. We have some catching up to do. https://t.co/pu6kWRGErp,0
1363429,"Texas, USA",@JRidgebacks @Goss30Goss @GovRonDeSantis I don't like being called a liar. https://t.co/G2V5rqHqGO,1
1363430,"North Carolina, USA",'Anti-democratic law': Israel bans mass protests as Covid lockdown tightens https://t.co/B8fypxb5AY,0
1363431,,"Ex-FDA commissioners, including former Trump advisor, warn against White House efforts to 'tip the scales' on COVID-19 vaccine https://t.co/W2wAAxdOB3 #SmartNews",1
1363432,"New York, NY","Oh, and this happened.... https://t.co/EEq7IoEY4m",1
1363433,,"Geneva to introduce minimum wage of £3,500 a month....this seems like a good idea to me! https://t.co/pEIhl33quF",0
1363434,"Michigan, USA",RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1363435,United States,RT @johnmyers2: https://t.co/iZwPz43Ibl,1
1363436,Southern California,"Remdesivir may not cure coronavirus, but it’s on track to make billions for Gilead https://t.co/zVBmjmvLSl",1
1363437,"Springfield, MO","Missouri COVID-19 death rate 4th highest in the country (.53 deaths per 100,000) only behind North Dakota, Arkansas, and Mississippi. Stay home and/or mask up Show-Me State! https://t.co/7BVKlCu5ND",1
1363438,Upper Michigan and Central Ohio,"RT @Craig_A_Spencer: @nptacek Agreed!

https://t.co/M2BFpPcwRz",1
1363439,"Washington, USA","RT @rogertansey: Remdesivir may not cure coronavirus, but it’s on track to make billions for Gilead https://t.co/zVBmjmvLSl",1
1363440,"KNAU, Arizona Public Radio",Tank And The Bangas Have 'Feelings' On The COVID-19 Era https://t.co/cTrPmhq6pc,1
1363441,"Cambridge, USA",RT @matthewherper: Make no mistake about it: having 7 former FDA commissioners say this is a big deal. Listen. https://t.co/X7kc3aVoPs,1
1363442,UK,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1363443,,"Less than 50% of Americans would take Covid-19 vaccine, even if they were paid $100 – poll — RT USA News https://t.co/TJ1Lv9EmMp",0
1363444,SoCal,https://t.co/YjcwuEZecD,1
1363445,,"4) Fast forward a few months and you'll find - to cite data in the Washington Post - that 83% of parents did not want fully in-person schooling for their child. Unbeknownst to these parents - they are now answering ""yes"" to the prior question.

https://t.co/vGNjJZod9p",1
1363446,,"RT @DNCWarRoom: Trump is once again ignoring experts and putting his ego ahead of public health.

https://t.co/wEcaOjUyEH",1
